id;nama_paket;metode_pengadaan;jenis_pengadaan;pagu;bulan;status
36;Belanja Modal Peralatan Personal Computer;E-Purchasing;Barang;118938286;4;2
43;Belanja Modal Smart TV dan Personal Computer CDK Wilayah Bojonegoro;E-Purchasing;Barang;17850000;6;2
51;Pengadaan Mobil Double Cabin 4x4;Tender Cepat;Barang;525000000;8;2
80;Belanja Modal Alat Peraga Pelatihan;Tender;Barang;499320000;6;2
163;Belanja Perlengkapan Gedung DPRD;Tender;Barang;780500000;8;2
64;Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Studi Penelitian dan Bantuan Teknik Monitoring dan Evaluasi Kegiatan Operasi Jaringan Irigasi [Bidang Irigasi] : Penyusunan Manual Operasi dan Pemeliharaan Jaringan Irigasi Wilayah UPT PSDA WS Brantas ( 2 Daerah Irigasi, 3.141 Ha) Daerah Irigasi Dermen Kab. Blitar (1.763 Ha) Daerah Irigasi Gelang Kab. Tulungagung (1.378 Ha);Seleksi;Jasa Konsultansi;200000000;7;2
76;Pengawasan Pembangunan Area Parkir, Saluran Air, Pos Jaga, Papan Nama, Podium & Tiang Bendera dan Pagar Lapangan Parkir (eks. Gedung Laka Lantas);Seleksi;Jasa Konsultansi;125000000;2;2
77;Manajemen Konstruksi Pembangunan Gedung Inspektorat Tahap II;Seleksi;Jasa Konsultansi;1600000000;2;2
89;Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Studi Penelitian dan Bantuan Teknik Monitoring dan Evaluasi Kegiatan Operasi Jaringan Irigasi [Bidang Irigasi] : Penyusunan Manual Operasi dan Pemeliharaan Jaringan Irigasi Wilayah UPT PSDA WS Brantas ( 2 Daerah Irigasi, 3.141 Ha) Daerah Irigasi Dermen Kab. Blitar (1.763 Ha) Daerah Irigasi Gelang Kab. Tulungagung (1.378 Ha);Seleksi;Jasa Konsultansi;200000000;6;2
153;Penyusunan Arahan Penataan Ruang Kawasan Strategis Agropolitan dan Minapolitan di Provinsi Jawa Timur;Seleksi;Jasa Konsultansi;400000000;2;2
162;Supervisi Rekonstruksi dan Pelebaran Jalan di Jalan Kencong - Kasian (DAK);Seleksi;Jasa Konsultansi;367800000;1;2
22;Belanja Jasa Tenaga Kebersihan  - Penyediaan Jasa Pelayanan Umum Kantor UPT K2 Surabaya;Tender;Jasa Lainnya;348000000;2;2
101;Pengoperasian Rumah Sakit (RS) Terapung;Tender;Jasa Lainnya;4200000000;4;2
107;BELANJA JASA PENGELOLAAN SAMPAH;Tender;Jasa Lainnya;670500000;3;2
128;BELANJA JASA PENGELOLAAN SAMPAH;Tender;Jasa Lainnya;670500000;3;2
143;Pengambilan limbah domestik di IRNA, Perkantoran, Penunjang dan Taman;Tender;Jasa Lainnya;775249790;2;2
148;Belanja Barang dan Jasa BLUD ((Pemeliharaan Lift Pasien di Irna Medik dan Irna Obgyn, Pemeliharaan Lift Pasien di Irna Bedah, Pemeliharaan Lift Umum di Gedung Parkir, Pemeliharaan Lift Pasien di GBPT, Pemeliharaan Lift Umum di GBPT, Pemeliharaan Lift Pasien di IGD, Pemeliharaan Lift Pasien di GPDT, Pemeliharaan Lift Pasien di STOC, Pemeliharaan Lift Umum di STOC, Pemeliharaan Lift Pasien di IRJ, Pemeliharaan Lift Umum di Onkologi Center, dan Pemeliharaan Lift Pasien di RIK 5);Tender;Jasa Lainnya;632000000;2;2
4;Konstruksi Fisik Rehabilitasi Gedung Sekretariat Daerah Provinsi Jawa Timur;Tender;Pekerjaan Konstruksi;600000000;6;2
15;Konstruksi Fisik Rehabilitasi Gedung Grahadi Provinsi Jawa Timur;Tender;Pekerjaan Konstruksi;7085500000;6;2
57;Pembangunan Pelabuhan Probolinggo;Tender;Pekerjaan Konstruksi;4770000000;8;2
68;Konstruksi Fisik Pembangunan Gedung Badan Kepegawaian Daerah Provinsi Jawa Timur;Tender;Pekerjaan Konstruksi;18608000000;6;2
85;Konstruksi Fisik Rehabilitasi Gedung Sekretariat Daerah Provinsi Jawa Timur;Tender;Pekerjaan Konstruksi;600000000;6;2
86;BELANJA MODAL GEDUNG DAN BANGUNAN BLUD (Biaya Konstruksi Pembuatan Water Long Storage);Tender;Pekerjaan Konstruksi;2000000000;6;2
94;BELANJA MODAL KONSTRUKSI BANGUNAN KESEHATAN ( PONDASI PAGAR KELILING DAN PENGURUKAN TANAH );Tender;Pekerjaan Konstruksi;7262200000;6;2
99;Fisik Tahap 1 Gedung UPT PTH di Kemiri;Tender;Pekerjaan Konstruksi;361800000;6;2
102;Pengadaan dan Pembangunan SPAM Regional Mojolagres Sub. Keg. Perluasan SPAM Jaringan Perpipaan;Tender;Pekerjaan Konstruksi;9000000000;6;2
104;Konstruksi Fisik Rehabilitasi Gedung Kantor Cabang Dinas Kehutanan Malang Provinsi Jawa Timur;Tender;Pekerjaan Konstruksi;872000000;6;2
105;Konstruksi Fisik Pembangunan Lift Service Gedung Bappeda Provinsi Jawa Timur;Tender;Pekerjaan Konstruksi;1500000000;6;2
112;Konstruksi Fisik Pembangunan Gedung Badan Kepegawaian Daerah Provinsi Jawa Timur;Tender;Pekerjaan Konstruksi;18608000000;5;2
126;Pembuatan Jalan Rigid Beton di UPT PPP BULU;Tender;Pekerjaan Konstruksi;1230000000;3;2
173;Konstruksi Fisik Pembangunan Lift Service Gedung Rumah Sakit di Surabaya;Tender Cepat;Pekerjaan Konstruksi;110000000;4;2
174;Belanja Jasa Cleaning Service;E-Purchasing;Barang;100500000;1;2
175;Pengadaan Compaktor Sampah;Tender;Barang;872000000;2;2
176;Pengadaan Kursi Meeting Ruang Kadis;E-Purchasing;Barang;25000000;8;2
177;Pengadaan Sofa Tamu;Tender;Barang;185000000;9;2
178;Pengadaan AC Floor Standing 5 PK;E-Purchasing;Barang;75700000;6;2
179;Pengadaan Televisi 70 Inch;E-Purchasing;Barang;82000000;9;2
180;Pengadaan Gorden Pusat Layanan Autis;Tender;Barang;91200000;9;2
181;Pembangunan Mess Kantor PPMG Wilayah VI Surabaya;Tender;Pekerjaan Konstruksi;856000000;8;2
182;Pembangunan Gapura PPMG Wilayah I;Tender;Pekerjaan Konstruksi;267400000;7;2
145;Belanja Barang dan Jasa BLUD (Belanja Peralatan dan Perlengkapan rumah tangga pakai habis) - Belanja Bahan Chemical Unit Laundry;Tender Cepat;Barang;402870000;1;1
3;Pembangunan IPAL Komunal Gang joyo Desa Sukapura, Kec. Sukapura, Kab. Probolinggo;Tender;Pekerjaan Konstruksi;500000000;8;1
5;Pengadaan dan Pembangunan SPAM Regional Mojolagres Sub. Keg. Perluasan SPAM Jaringan Perpipaan;Tender;Pekerjaan Konstruksi;9000000000;6;1
6;Konstruksi Fisik Pembangunan Lift Service Gedung Bappeda Provinsi Jawa Timur;Tender;Pekerjaan Konstruksi;1500000000;6;1
7;Konstruksi Fisik Rehabilitasi Gedung Grahadi Provinsi Jawa Timur;Tender;Pekerjaan Konstruksi;7085500000;6;1
8;BELANJA MODAL KONSTRUKSI BANGUNAN KESEHATAN ( PONDASI PAGAR KELILING DAN PENGURUKAN TANAH );Tender;Pekerjaan Konstruksi;7262200000;6;1
9;BELANJA MODAL GEDUNG DAN BANGUNAN BLUD (Biaya Konstruksi Pembuatan Water Long Storage);Tender;Pekerjaan Konstruksi;2000000000;6;1
